gvkey,ratingdate,entity_id,entname,sectordescription,industrydescription,countrycode,ratingtypecode,currentratingsymbol,priorratingsymbol,regulatoryindicator,unsol,year,numeric_rating,lt,xint
101350.0,2000-05-02,310472,Sika AG,Corporates,Chemicals,CHE,FCLONG,A-,A-,EE|UK,1,2000,17,480.84120465532516,15.448029163366721
,2000-11-15,310653,Cosmo Oil Co. Ltd.,Corporates,,JPN,STDLONG,BB-pi,BB,,1,2000,11,,
,2000-11-15,310657,Japan Energy Corp.,Corporates,,JPN,STDLONG,B+pi,B,,1,2000,10,,
18716.0,2000-11-15,310659,Kawasaki Steel Corp.,Corporates,Metals & Mining,JPN,STDLONG,BB-pi,BB,,1,2000,11,18179.877276931766,175.69909207167018
126894.0,2000-04-17,310797,Glenoit Corp.,Corporates,Consumer Products,USA,STDLONG,D,B,,1,2000,1,276.079,26.745
,2000-02-28,313020,Reliant Building Products Inc.,Corporates,Building Materials,USA,STDLONG,D,SD,,1,2000,1,,
13647.0,2000-11-10,313204,Colorado Prime Corp.,Corporates,Consumer Products,USA,STDLONG,SD,CC,,1,2000,2,,
24608.0,2000-01-31,314542,Read-Rite Corp.,Corporates,Information Technology,USA,STDLONG,SD,B,,1,2000,2,565.4283333333334,31.536999999999995
15288.0,2000-03-15,315076,Wells Aluminum Corp.,Corporates,Metals & Mining,USA,STDLONG,A,B+,,1,2000,18,,
11784.0,2000-06-06,315099,Scott Paper Ltd.,Corporates,Consumer Products,CAN,STDLONG,BB-,BB,,1,2000,11,,
125214.0,2000-04-11,315239,Hedstrom Corp.,Corporates,Consumer Products,USA,STDLONG,D,B,,1,2000,1,357.168,31.335
,2000-04-11,315240,Hedstrom Holdings Inc.,Corporates,Media & Entertainment,USA,STDLONG,D,B,,1,2000,1,,
,2000-11-20,315710,Highwoods Exercisable Put Options Securities Trust,Corporates,Property & Real Estate,USA,STDLONG,BBB-,BBB-,,1,2000,14,,
100696.0,2000-11-15,315759,Showa Denko KK,Corporates,Chemicals,JPN,STDLONG,B+pi,B,,1,2000,10,7570.212883556319,124.34872416155491
101750.0,2000-11-15,315760,Ube Industries Ltd.,Corporates,Chemicals,JPN,STDLONG,B+pi,B,,1,2000,10,6224.015075419855,112.17974770953079
,2000-02-02,315797,"AmeriServe Food Distribution, Inc.",Corporates,Consumer Products,USA,STDLONG,D,B,,1,2000,1,,
107542.0,2000-02-02,315798,Nebco Evans Holding Co.,Corporates,Retailing,USA,STDLONG,D,B,,1,2000,1,1957.059,90.824
,2000-01-18,316144,"Safety Components International, Inc.",Corporates,Consumer Products,USA,STDLONG,D,CC,,1,2000,1,,
24879.0,2000-04-11,316391,Gothic Energy Corp.,Corporates,Energy,USA,STDLONG,CCC,CCC,,1,2000,6,330.32050000000004,36.713
64694.0,2000-02-18,316560,Cable & Wireless Communications PLC (Old),Corporates,Telecom Services,GBR,STDLONG,A,A-,,1,2000,18,6414.036,367.992
,2000-11-13,316598,ACTEW Corp. Ltd.,Corporates,Multi,AUS,STDLONG,AA,AA+,,1,2000,21,,
26017.0,2000-03-07,316994,Cascades Boxboard Group Inc.,Corporates,Paper & Forest Products,CAN,FCLONG,BB-,BB-,,1,2000,11,405.1195738244783,24.500189504369978
28955.0,2000-06-16,317468,Flooring America Inc.,Corporates,Business and Consumer Services,USA,STDLONG,D,B-,,1,2000,1,240.056,14.68
28732.0,2000-04-25,317870,Employee Solutions Inc.,Corporates,Health Care,USA,STDLONG,D,CC,,1,2000,1,155.221,8.6975
6731.0,2000-12-22,317887,Lilly Industries Inc.,Corporates,Chemicals,USA,STDLONG,BBB,BB+,,1,2000,15,354.5825,16.355
10055.0,2000-09-12,317920,Stellex Technologies Inc.,Corporates,Aerospace & Defense,USA,STDLONG,D,SD,,1,2000,1,,
63755.0,2000-05-02,318240,"Kitty Hawk, Inc.",Corporates,Transportation,USA,STDLONG,D,CCC,,1,2000,1,783.639,43.404
11944.0,2000-03-08,318271,Tuesday Morning Corp.,Corporates,Retailing,USA,STDLONG,BB-,B+,,1,2000,11,250.8936666666667,23.29733333333333
,2000-06-14,318711,Cuddy International Corp.,Corporates,Consumer Products,CAN,STDLONG,D,B,,1,2000,1,,
