gvkey,ratingdate,entity_id,entname,sectordescription,industrydescription,countrycode,ratingtypecode,currentratingsymbol,priorratingsymbol,regulatoryindicator,unsol,numeric_rating,year,countryrating,ch,wcap,ROA,ICOV,LDTC,SDTD,OM,Z_score
219611.0,2018-06-12,118691,Caisse Regionale de Credit Agricole Mutuel du Morbihan,Financial Institutions,Bank,FRA,STDLONG,A+,,,1,19,2018,16.68421052631579,175.16210690429796,,0.005430385888324017,1.5822823507714385,0.05794077821056695,,0.5813697335881253,
,2013-11-01,118914,American Beacon Advisors Inc.,Financial Institutions,Asset Manager,USA,FCLONG,BB-,,,1,11,2013,13.899082568807339,,,,,,,,
,2018-06-12,118929,Caisse Regionale de Credit Agricole Mutuel du Finistere,Financial Institutions,Bank,FRA,FCLONG,A+,,,1,19,2018,16.68421052631579,,,,,,,,
,2018-06-12,118930,Caisse Regionale de Credit Agricole Mutuel du Nord-Est,Financial Institutions,Bank,FRA,FCLONG,A+,,,1,19,2018,16.68421052631579,,,,,,,,
,2014-08-13,118938,Morgan Stanley MUFG Securities Co. Ltd.,Financial Institutions,Brokerage Company,JPN,FCLONG,A,,,1,18,2014,17.96808510638298,,,,,,,,
,2008-10-31,119386,Barclays Bank S.A.U.,Financial Institutions,Bank,ESP,STDLONG,AA,,,1,21,2008,18.83582089552239,,,,,,,,
15567.0,2014-11-26,119465,Gunma Bank Ltd.,Financial Institutions,Bank,JPN,STDLONG,A,,,1,18,2014,17.96808510638298,1614.680330439254,,0.0028990278915397034,8.483219537097295,0.0481472190908944,,0.3112409030013263,
30525.0,2018-06-12,119651,Credit du Nord S.A.,Financial Institutions,Bank,FRA,FCLONG,A+,,,1,19,2018,16.68421052631579,,,,,,,,
227516.0,2018-06-12,119654,Caisse Regionale de Credit Agricole Mutuel Paris Ile-de-France,Financial Institutions,Bank,FRA,FCLONG,A+,,,1,19,2018,16.68421052631579,159.57636192384032,,0.006342614709682979,1.9319766257547126,0.002487522834944012,,0.5918016326175483,
15261.0,2005-02-10,119800,Doral Financial Corp.,Financial Institutions,Holding Company,USA,FCLONG,BBB-,,,1,14,2005,17.25,101.92999999999999,,,,0.16080417347205397,,,
267462.0,2008-07-18,119889,Bank of Communications Co. Ltd.,Financial Institutions,Bank,CHN,STDLONG,BBB+,,,1,16,2008,12.820512820512821,6048.011051669224,,0.00774744851548173,1.0893304034679687,0.025270246694988643,,0.39219386185102234,
24594.0,2000-05-17,120025,DekaBank Deutsche Girozentrale,Financial Institutions,Bank,DEU,FCLONG,AA,,,1,21,2000,,486.74225726661354,,,1.0694702655325934,0.32221966785113104,,0.8396077106253669,
,2005-01-05,120164,Credit Municipal de Paris,Financial Institutions,Bank,FRA,STDLONG,A+,,,1,19,2005,16.25581395348837,,,,,,,,
16204.0,2000-02-01,120262,BNP Paribas Personal Finance,Financial Institutions,Bank,FRA,FCLONG,A+,,,1,19,2000,,107.80337444717651,,,0.8005637773079632,0.14746524200486452,,0.30919978225367445,
,2018-10-29,120338,NIBC Bank N.V.,Financial Institutions,Bank,NLD,FCLONG,BBB+,,,1,16,2018,21.727272727272727,,,,,,,,
,2018-06-12,120345,CA Consumer Finance,Financial Institutions,Bank,FRA,FCLONG,A+,,,1,19,2018,16.68421052631579,,,,,,,,
,2004-03-30,120384,Cofidis S.A.,Financial Institutions,Bank,FRA,STDLONG,A-,,,1,17,2004,16.176470588235293,,,,,,,,
,2018-06-12,120427,Caisse Regionale de Credit Agricole Mutuel des Cotes D'Armor,Financial Institutions,Bank,FRA,FCLONG,A+,,,1,19,2018,16.68421052631579,,,,,,,,
238718.0,2018-06-12,120429,Caisse Regionale de Credit Agricole Mutuel Sud Rhone-Alpes,Financial Institutions,Bank,FRA,FCLONG,A+,,,1,19,2018,16.68421052631579,64.02308844419166,,0.006450702570884308,1.8132944704467817,0.002804803554454756,,0.5990227537105429,
16285.0,2003-10-22,120440,Entenial,Financial Institutions,Bank,FRA,STDLONG,A,,,1,18,2003,16.23076923076923,446.13464587386824,,0.006466510904003606,0.7390483019402432,0.597544133008255,,0.5662129478163599,
,2005-05-19,120669,Lehman Brothers Bankhaus AG,Financial Institutions,Brokerage Company,DEU,STDLONG,A,,,1,18,2005,18.105263157894736,,,,,,,,
,2018-06-12,120688,Caisse Centrale du Credit Mutuel,Financial Institutions,Bank,FRA,FCLONG,A+,,,1,19,2018,16.68421052631579,,,,,,,,
,2018-06-12,120697,Caisse Federale du Credit Mutuel Ocean,Financial Institutions,Bank,FRA,STDLONG,A+,,,1,19,2018,16.68421052631579,,,,,,,,
,2018-06-12,120698,Caisse Federale du Credit Mutuel Nord Europe,Financial Institutions,Bank,FRA,FCLONG,A+,,,1,19,2018,16.68421052631579,,,,,,,,
,2018-06-12,120714,Caisse Federale du Credit Mutuel Antilles-Guyane,Financial Institutions,Bank,FRA,STDLONG,A+,,,1,19,2018,16.68421052631579,,,,,,,,
,2004-09-27,120753,Nacional Financiera S.N.C. (NAFIN),Financial Institutions,Bank,MEX,CAVALLONG,mxAAA,,,1,23,2004,18.422619047619047,,,,,,,,
,2018-06-12,120903,Franfinance,Financial Institutions,Bank,FRA,STDLONG,A+,,,1,19,2018,16.68421052631579,,,,,,,,
219610.0,2018-06-12,121066,Caisse Regionale de Credit Agricole Mutuel de Centre Loire,Financial Institutions,Bank,FRA,STDLONG,A+,,,1,19,2018,16.68421052631579,52.45218447990758,,0.006071293162501929,1.7740351412783077,0.005337305184525936,,0.6574100723756398,
,2002-03-01,121309,Banco Nacional de Comercio Exterior S.N.C.,Financial Institutions,Bank,MEX,CAVALLONG,mxAAA,,,1,23,2002,18.626666666666665,,,,,,,,
25885.0,2007-01-17,126288,Capitalia SpA,Financial Institutions,Bank,ITA,STDLONG,A,,,1,18,2007,17.905405405405407,2609.2622366658848,,0.008092470529915647,0.9623814274454506,0.2382431994293243,,0.3256510657986133,
,2018-06-12,126354,Caisse Regionale de Credit Agricole Mutuel de l'Anjou et du Maine,Financial Institutions,Bank,FRA,STDLONG,A+,,,1,19,2018,16.68421052631579,,,,,,,,
,2018-06-29,126355,Deutsche Bank Luxembourg S.A.,Financial Institutions,Bank,LUX,FCLONG,A-,,,1,17,2018,,,,,,,,,
