gvkey,ratingdate,entity_id,entname,sectordescription,industrydescription,countrycode,ratingtypecode,currentratingsymbol,priorratingsymbol,regulatoryindicator,unsol,date_column,year,numeric_rating,countryrating,ch,wcap,ICOV,ROA,LDTC,SDTD,OM,Z_score,xint,lt
,2004-09-30,102179,Southern States Cooperative Inc.,Corporates,Consumer Products,USA,STDLONG,B+,,,1,2004-09-30,2004,10,20.11111111111111,,,,,,,,,,
9963.0,2013-05-15,102200,Springs Industries Inc.,Corporates,Consumer Products,USA,STDLONG,B,,,1,2013-05-15,2013,9,16.573033707865168,,,,,,,,,,
10002.0,2000-03-15,102209,CalAtlantic Group Inc.,Corporates,Homebuilding,USA,FCLONG,BB,,,1,2000-03-15,2000,12,,8.874333333333334,,2.7424159338645686,0.06160536537392608,0.43070611521795077,,0.08809782722972663,,27.06233333333334,417.88433333333336
10453.0,2002-01-17,102289,Teradyne Inc.,Corporates,Information Technology,USA,STDLONG,BB-,,,1,2002-01-17,2002,11,21.285714285714285,247.119,728.266,48.66040589093862,0.07841572628780442,0.0623037894125533,0.7599832209108862,0.101231775595226,12.064685335435613,2.529333333333333,614.0283333333333
184954.0,2010-05-24,102354,TransUnion Intermediate Holdings Inc.,Corporates,Commercial & Professional Services,USA,STDLONG,B+,,,1,2010-05-24,2010,10,15.691176470588236,,,,,,,,,,
10811.0,2005-12-16,102390,UOP LLC,Corporates,Energy,USA,STDLONG,A,,,1,2005-12-16,2005,18,19.428571428571427,,,,,,,,,,
10884.0,2003-04-17,102420,Chiquita Brands International Inc.,Corporates,Consumer Products,USA,STDLONG,B,NR,,1,2003-04-17,2003,9,21.285714285714285,73.59133333333334,329.8346666666667,0.75888276110038,-0.10865228876096994,0.30106921068449377,0.3057833445374311,0.02189527218446952,1.2721346255843773,97.47533333333332,1553.6989999999998
,2009-12-23,102426,United Illuminating Co. (The),Corporates,Electric,USA,STDLONG,BBB,NR,,1,2009-12-23,2009,15,17.927272727272726,,,,,,,,,,
14266.0,2003-04-09,102438,US Airways Inc.,Corporates,Transportation,USA,STDLONG,B,NR,,1,2003-04-09,2003,9,21.285714285714285,,,,,,,,,,
11162.0,2004-03-29,102496,VICORP Restaurants Inc.,Corporates,Retailing,USA,STDLONG,B+,,,1,2004-03-29,2004,10,20.11111111111111,5.326,-25.679,1.3873129749374615,-0.010609143654543574,0.4382795262444595,0.1777934674037176,0.07590834080115284,,21.187,307.351
11191.0,2001-07-10,102503,Vishay Intertechnology Inc.,Corporates,Information Technology,USA,STDLONG,BB+,,,1,2001-07-10,2001,13,21.285714285714285,185.37833333333333,759.511,11.373467020463027,0.07506378465005,0.22667631392170406,0.32421862500133874,0.16019500841054388,3.4007579284173706,42.50366666666667,1181.0806666666665
11217.0,2009-01-23,102506,AB Volvo,Corporates,Capital Goods,SWE,STDLONG,A-,,,1,2009-01-23,2009,17,21.10909090909091,1091.2001149302732,1442.189,22.10112804365183,0.045356464772530976,0.1903566411835549,0.5952913245589958,0.072278472841885,2.2981041356669594,168.34033333333332,32861.58733333333
,2005-06-17,102845,Burger King Corp.,Corporates,Retailing,USA,STDLONG,B+,,,1,2005-06-17,2005,10,19.428571428571427,,,,,,,,,,
,2024-04-24,102917,Chevron U.S.A. Inc.,Corporates,Energy,USA,FCLONG,AA-,,EE|UKE,0,2024-04-24,2024,20,16.573033707865168,,,,,,,,,,
,2013-07-25,103303,Flexi-Van Leasing Inc.,Corporates,Capital Goods,USA,STDLONG,BB-,,,1,2013-07-25,2013,11,16.573033707865168,,,,,,,,,,
,2018-07-23,103557,Koch Industries Inc.,Corporates,Capital Goods,USA,STDLONG,AA-,,,1,2018-07-23,2018,20,16.573033707865168,,,,,,,,,,
