gvkey,ratingdate,entity_id,entname,sectordescription,industrydescription,countrycode,ratingtypecode,currentratingsymbol,priorratingsymbol,regulatoryindicator,unsol,date_column,year,numeric_rating,countryrating
1623.0,2003-07-25,107646,Amsted Industries Inc.,Corporates,Capital Goods,USA,STDLONG,BB-,,,N,2003-07-25,2003,11,21.285714285714285
2271.0,2016-03-15,107652,Blount International Inc.,Corporates,Capital Goods,USA,FCLONG,B+,NR,,N,2016-03-15,2016,10,16.573033707865168
4412.0,2004-06-03,107700,Viskase Cos. Inc.,Corporates,Containers & Packaging,USA,STDLONG,B-,NR,,N,2004-06-03,2004,8,20.11111111111111
148991.0,2000-02-23,107772,NextEra Energy Capital Holdings Inc.,Corporates,Electric,USA,FCLONG,A+,NR,,N,2000-02-23,2000,19,
14088.0,2019-07-26,107996,AEP Generating Co.,Corporates,Electric,USA,STDLONG,A-,,,N,2019-07-26,2019,17,16.573033707865168
,2019-03-25,108108,Mars Inc.,Corporates,Consumer Products,USA,STDLONG,A,,,N,2019-03-25,2019,18,16.573033707865168
10726.0,2013-03-13,108175,Tribune Media Company,Corporates,Media & Entertainment,USA,FCLONG,BB-,NR,,N,2013-03-13,2013,11,16.573033707865168
100144.0,2003-10-21,108224,Nissho Iwai Corp.,Corporates,Capital Goods,JPN,FCLONG,B,,,N,2003-10-21,2003,9,20.608695652173914
152189.0,2007-03-21,108241,Sterling Chemicals Inc.,Corporates,Chemicals,USA,STDLONG,B-,NR,,N,2007-03-21,2007,8,19.058823529411764
259930.0,2012-09-06,108253,BP Capital Markets PLC,Corporates,Energy,GBR,STDLONG,A,,,N,2012-09-06,2012,18,19.36
,2002-11-20,108421,Sharp Electronics Corp.,Corporates,Consumer Products,USA,FCLONG,A,,,N,2002-11-20,2002,18,21.285714285714285
101846.0,2003-09-05,108532,Sumitomo Corp.,Corporates,Capital Goods,JPN,FCLONG,BBB+,,,N,2003-09-05,2003,16,20.608695652173914
16267.0,2004-07-27,108556,Leonardo SpA,Corporates,Aerospace & Defense,ITA,STDLONG,BBB,,,N,2004-07-27,2004,15,18.9811320754717
18754.0,2003-10-21,108566,Kumagai Gumi Co. Ltd.,Corporates,Capital Goods,JPN,FCLONG,SD,,,N,2003-10-21,2003,2,20.608695652173914
100545.0,2003-08-25,108567,Marubeni Corp.,Corporates,Capital Goods,JPN,FCLONG,B+,,,N,2003-08-25,2003,10,20.608695652173914
19043.0,2003-09-05,108569,Mitsubishi Electric Corp.,Corporates,Capital Goods,JPN,FCLONG,BBB,,,N,2003-09-05,2003,15,20.608695652173914
13990.0,2003-05-29,108727,Warnaco Group Inc.,Corporates,Consumer Products,USA,STDLONG,B+,NR,,N,2003-05-29,2003,10,21.285714285714285
8873.0,2010-12-07,108805,Questar Corp.,Corporates,Gas,USA,FCLONG,A,,,N,2010-12-07,2010,18,15.691176470588236
1632.0,2008-03-18,109017,Analog Devices Inc.,Corporates,Information Technology,USA,STDLONG,BBB+,,,N,2008-03-18,2008,16,19.058823529411764
,2010-10-01,109356,Metaldyne LLC,Corporates,Automobiles & Components,USA,FCLONG,B+,NR,,N,2010-10-01,2010,10,15.691176470588236
7366.0,2001-06-21,109358,Entergy Corp.,Corporates,Electric,USA,STDLONG,BBB,,,N,2001-06-21,2001,15,21.285714285714285
5924.0,2000-11-10,109387,IWC Resources Corp.,Corporates,Water,USA,STDLONG,BBB,,,N,2000-11-10,2000,15,
8542.0,2020-02-05,109388,Essential Utilities Inc.,Corporates,Water,USA,FCLONG,A,,,N,2020-02-05,2020,18,16.573033707865168
7346.0,2011-07-12,109454,Microsemi Corp.,Corporates,Information Technology,USA,STDLONG,BB-,,,N,2011-07-12,2011,11,15.727272727272727
329498.0,2018-11-29,109550,Coles Group Ltd.,Corporates,Retailing,AUS,STDLONG,BBB+,NR,EE|UKE,Y,2018-11-29,2018,16,22.075
13680.0,2005-01-19,109714,Atlantis Plastics Inc.,Corporates,Chemicals,USA,STDLONG,B,,,N,2005-01-19,2005,9,19.428571428571427
13027.0,2004-04-29,109804,GSE Environmental Inc.,Corporates,Commercial & Professional Services,USA,STDLONG,B+,,,N,2004-04-29,2004,10,20.11111111111111
,2007-11-20,109873,Teco Finance Inc.,Corporates,Multi,USA,STDLONG,BBB-,NR,,N,2007-11-20,2007,14,19.058823529411764
5301.0,2012-03-20,109886,Great Atlantic & Pacific Tea Co. Inc. (The),Corporates,Retailing,USA,FCLONG,B-,NR,,N,2012-03-20,2012,8,16.573033707865168
